ID en el IDAE;Nombre del vehículo;Segmento comercial;Motorizacion;Cilindrada;Tipo de cambio;MTMA;Potencia en CV;Potencia termica;Potencia Electrica;Autonomia Electrica;Consumo NEDC;Consumo WLTP;Emisiones NEDC;Emisiones WLTP;Dimensiones (largo x ancho x alto);Nº de plazas maximas;Clasificacion por consumo relativo
253406;Alfa Romeo Giulia 2.2 turbo diésel 150 CV Giulia;Berlinas-Familiares Grandes;Gasóleo;2.143 cm3;M;1.600;149 cv;110 kw;0 kw;1.238 kms;4,20;0,00;109 g CO2/km;0 g CO2/km;4.643 x 1.860 x 1.436 mm;5;A
253407;Alfa Romeo Giulia 2.2 turbo diésel 150 CV Giulia AT;Berlinas-Familiares Grandes;Gasóleo;2.143 cm3;A;1.600;149 cv;110 kw;0 kw;1.238 kms;4,20;0,00;109 g CO2/km;0 g CO2/km;4.643 x 1.860 x 1.436 mm;5;A
253408;Alfa Romeo Giulia 2.2 turbo diésel 150 CV Super;Berlinas-Familiares Grandes;Gasóleo;2.143 cm3;M;1.600;149 cv;110 kw;0 kw;1.238 kms;4,20;0,00;109 g CO2/km;0 g CO2/km;4.643 x 1.860 x 1.436 mm;5;A
253409;Alfa Romeo Giulia 2.2 turbo diésel 150 CV Super AT;Berlinas-Familiares Grandes;Gasóleo;2.143 cm3;A;1.600;149 cv;110 kw;0 kw;1.238 kms;4,20;0,00;109 g CO2/km;0 g CO2/km;4.643 x 1.860 x 1.436 mm;5;A
253410;Alfa Romeo Giulia 2.2 turbo diésel 180 CV Super;Berlinas-Familiares Grandes;Gasóleo;2.143 cm3;M;1.600;179 cv;132 kw;0 kw;1.238 kms;4,20;0,00;109 g CO2/km;0 g CO2/km;4.643 x 1.860 x 1.436 mm;5;A
253411;Alfa Romeo Giulia 2.2 turbo diésel 180 CV Super AT;Berlinas-Familiares Grandes;Gasóleo;2.143 cm3;A;1.600;179 cv;132 kw;0 kw;1.238 kms;4,20;0,00;109 g CO2/km;0 g CO2/km;4.643 x 1.860 x 1.436 mm;5;A
253412;Alfa Romeo Giulia 2.9 V6 Biturbo 510 CV Quadrifoglio;Berlinas-Familiares Grandes;Gasolina;2.891 cm3;M;2.100;510 cv;375 kw;0 kw;682 kms;8,50;0,00;198 g CO2/km;0 g CO2/km;4.639 x 1.873 x 1.426 mm;5;E
33946;Alfa Romeo GIULIETTA 1.4 TB 105CV PROGRESSION;Berlinas-Familiares Medios;Gasolina;1.368 cm3;M;1.780;105 cv;77 kw;0 kw;0 kms;6,40;0,00;149 g CO2/km;0 g CO2/km;4.351 x 1.798 x 1.465 mm;5;C
47682;Alfa Romeo GIULIETTA 1.4 TB 105CV PROGRESSION Serie-1;Berlinas-Familiares Medios;Gasolina;1.368 cm3;M;1.780;105 cv;77 kw;0 kw;0 kms;6,40;0,00;148 g CO2/km;0 g CO2/km;4.351 x 1.798 x 1.465 mm;5;C
48412;Alfa Romeo GIULIETTA 1.4 TB 105CV PROGRESSION Serie-1 M1-AF;Berlinas-Familiares Medios;Gasolina;1.368 cm3;M;1.780;105 cv;77 kw;0 kw;0 kms;6,40;0,00;148 g CO2/km;0 g CO2/km;4.351 x 1.798 x 1.465 mm;5;C
437512;Alfa Romeo GIULIETTA 1.4 TB 120cv  SUPER;Pequeños;Gasolina;1.368 cm3;M;1.280;120 cv;88 kw;0 kw;0 kms;7,20;7,80;164 g CO2/km;176 g CO2/km;4.351 x 1.798 x 1.465 mm;5;D
437515;Alfa Romeo GIULIETTA 1.4 TB 120cv B-TECH;Pequeños;Gasolina;1.368 cm3;M;1.280;120 cv;88 kw;0 kw;0 kms;7,20;7,80;164 g CO2/km;176 g CO2/km;4.351 x 1.798 x 1.465 mm;5;D
21937;Alfa Romeo GIULIETTA 1.4 TB 120CV DISTINCTIVE;Berlinas-Familiares Medios;Gasolina;1.368 cm3;M;1.780;120 cv;88 kw;0 kw;938 kms;6,40;0,00;149 g CO2/km;0 g CO2/km;4.351 x 1.798 x 1.465 mm;5;C
46122;Alfa Romeo GIULIETTA 1.4 TB 120CV DISTINCTIVE Serie-1;Berlinas-Familiares Medios;Gasolina;1.368 cm3;M;1.780;120 cv;88 kw;0 kw;0 kms;6,40;0,00;148 g CO2/km;0 g CO2/km;4.351 x 1.798 x 1.465 mm;5;C
48411;Alfa Romeo GIULIETTA 1.4 TB 120CV DISTINCTIVE Serie-1 M1-AF;Berlinas-Familiares Medios;Gasolina;1.368 cm3;M;1.780;120 cv;88 kw;0 kw;0 kms;6,40;0,00;148 g CO2/km;0 g CO2/km;4.351 x 1.798 x 1.465 mm;5;C
437506;Alfa Romeo GIULIETTA 1.4 TB 120cv GIULIETTA;Pequeños;Gasolina;1.368 cm3;M;1.280;120 cv;88 kw;0 kw;0 kms;7,20;7,80;164 g CO2/km;175 g CO2/km;4.351 x 1.798 x 1.465 mm;5;D
24974;Alfa Romeo GIULIETTA 1.4 TB 120CV GLP DISTINCTIVE;Berlinas-Familiares Medios;Gases licuados del petróleo XGLPX;1.368 cm3;M;1.780;120 cv;88 kw;0 kw;938 kms;8,60;0,00;134 g CO2/km;0 g CO2/km;4.351 x 1.798 x 1.465 mm;5;S
50175;Alfa Romeo GIULIETTA 1.4 TB 120CV GLP Serie-1;Berlinas-Familiares Medios;Gases licuados del petróleo XGLPX;1.368 cm3;M;1.800;120 cv;88 kw;0 kw;0 kms;15,51;0,00;134 g CO2/km;0 g CO2/km;4.351 x 1.798 x 1.465 mm;5;S
21936;Alfa Romeo GIULIETTA 1.4 TB 120CV PROGRESSION;Berlinas-Familiares Medios;Gasolina;1.368 cm3;M;1.780;120 cv;88 kw;0 kw;938 kms;6,40;0,00;149 g CO2/km;0 g CO2/km;4.351 x 1.798 x 1.465 mm;5;C
437509;Alfa Romeo GIULIETTA 1.4 TB 120cv SPORT;Pequeños;Gasolina;1.368 cm3;M;1.280;120 cv;88 kw;0 kw;0 kms;7,20;7,90;164 g CO2/km;176 g CO2/km;4.351 x 1.798 x 1.465 mm;5;D
187748;Alfa Romeo GIULIETTA 1.4 TB M-Air 150CV SPRINT;Berlinas-Familiares Medios;Gasolina;1.368 cm3;M;1.820;140 cv;103 kw;0 kw;0 kms;5,70;0,00;131 g CO2/km;0 g CO2/km;4.351 x 1.798 x 1.465 mm;5;B
21938;Alfa Romeo GIULIETTA 1.4 TB M-Air 170CV DISTINCTIVE;Berlinas-Familiares Medios;Gasolina;1.368 cm3;M;1.790;170 cv;125 kw;0 kw;1.034 kms;5,80;0,00;134 g CO2/km;0 g CO2/km;4.351 x 1.798 x 1.465 mm;5;B
46121;Alfa Romeo GIULIETTA 1.4 TB M-Air 170CV DISTINCTIVE Serie-1;Berlinas-Familiares Medios;Gasolina;1.368 cm3;M;1.790;170 cv;125 kw;0 kw;0 kms;5,70;0,00;131 g CO2/km;0 g CO2/km;4.351 x 1.798 x 1.465 mm;5;B
48410;Alfa Romeo GIULIETTA 1.4 TB M-Air 170CV DISTINCTIVE Serie-1 M1-AF;Berlinas-Familiares Medios;Gasolina;1.368 cm3;M;1.790;170 cv;125 kw;0 kw;0 kms;5,70;0,00;131 g CO2/km;0 g CO2/km;4.351 x 1.798 x 1.465 mm;5;B
21939;Alfa Romeo GIULIETTA 1.4 TB M-Air 170CV TCT DISTINCTIVE;Berlinas-Familiares Medios;Gasolina;1.368 cm3;A;1.810;170 cv;125 kw;0 kw;1.154 kms;5,20;0,00;121 g CO2/km;0 g CO2/km;4.351 x 1.798 x 1.465 mm;5;A
47683;Alfa Romeo GIULIETTA 1.4 TB M-Air 170CV TCT DISTINCTIVE Serie-1;Berlinas-Familiares Medios;Gasolina;1.368 cm3;M;1.800;170 cv;125 kw;0 kw;0 kms;5,10;0,00;119 g CO2/km;0 g CO2/km;4.351 x 1.798 x 1.465 mm;5;A
48413;Alfa Romeo GIULIETTA 1.4 TB M-Air 170CV TCT DISTINCTIVE Serie-1 M1-AF;Berlinas-Familiares Medios;Gasolina;1.368 cm3;M;1.800;170 cv;125 kw;0 kw;0 kms;5,10;0,00;119 g CO2/km;0 g CO2/km;4.351 x 1.798 x 1.465 mm;5;A
187749;Alfa Romeo GIULIETTA 1.4 TB M-Air 170CV TCT SPRINT;Berlinas-Familiares Medios;Gasolina;1.368 cm3;A;1.820;231 cv;170 kw;0 kw;0 kms;5,10;0,00;119 g CO2/km;0 g CO2/km;4.351 x 1.798 x 1.465 mm;5;A
437516;Alfa Romeo GIULIETTA 1.6 JTD 120cv B-TECH;Pequeños;Gasóleo;1.598 cm3;M;1.390;120 cv;88 kw;0 kw;0 kms;4,70;5,70;123 g CO2/km;147 g CO2/km;4.351 x 1.798 x 1.465 mm;5;C
437507;Alfa Romeo GIULIETTA 1.6 JTD 120cv GIULIETTA;Pequeños;Gasóleo;1.598 cm3;M;1.390;120 cv;88 kw;0 kw;0 kms;4,70;5,70;123 g CO2/km;147 g CO2/km;4.351 x 1.798 x 1.465 mm;5;C
437510;Alfa Romeo GIULIETTA 1.6 JTD 120cv SPORT;Pequeños;Gasóleo;1.598 cm3;M;1.390;120 cv;88 kw;0 kw;0 kms;4,70;5,70;123 g CO2/km;148 g CO2/km;4.351 x 1.798 x 1.465 mm;5;C
437513;Alfa Romeo GIULIETTA 1.6 JTD 120cv SUPER;Pequeños;Gasóleo;1.598 cm3;M;1.390;120 cv;88 kw;0 kw;0 kms;4,70;5,70;123 g CO2/km;147 g CO2/km;4.351 x 1.798 x 1.465 mm;5;C
437508;Alfa Romeo GIULIETTA 1.6 JTD 120cv TCT GIULIETTA;Pequeños;Gasóleo;1.598 cm3;A;1.400;120 cv;88 kw;0 kw;0 kms;4,70;5,70;125 g CO2/km;151 g CO2/km;4.351 x 1.798 x 1.465 mm;5;C
437511;Alfa Romeo GIULIETTA 1.6 JTD 120cv TCT SPORT;Pequeños;Gasóleo;1.598 cm3;A;1.400;120 cv;88 kw;0 kw;0 kms;4,70;5,80;125 g CO2/km;151 g CO2/km;4.351 x 1.798 x 1.465 mm;5;C
